A,"Agilent Technologies, Inc.",Health Technology,"Agilent Technologies, Inc. engages in the provision of application focused solutions for life sciences, diagnostics, and applied chemical markets. It operates through the following segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers application-focused solutions that include instruments and software that enable to identify, quantify, and analyze the physical and biological properties of substances and products, as well as the clinical and life sciences research areas to interrogate samples at the molecular and cellular level. The Diagnostics and Genomics segment comprises activity providing active pharmaceutical ingredients for oligo-based therapeutics as well as solutions that include reagents, instruments, software, and consumables. The Agilent CrossLab segment includes startup, operational, training and compliance support, software as a service, and asset management and consultative services. The company was founded in May 1999 and is headquartered in Santa Clara, CA."
AA,Alcoa Corp.,Non-Energy Minerals,"Alcoa Corp. engages in the production of bauxite, alumina, and aluminum products. It operates through the following segments: Bauxite, Alumina, and Aluminum. The Bauxite segment represents the company’ global bauxite mining operations. The Alumina segment includes the company’s worldwide refining system, which processes bauxite into alumina. The Aluminum segment combines smelting and casting operations produce primary aluminum. The smelting operations produce molten primary aluminum, which is then formed by the casting operations into either foundry ingot or into value add ingot products, including billet, rod, and slab. The company was founded by Charles Martin Hall on July 9, 1886 and is headquartered in Pittsburgh, PA."
AACQ,"Artius Acquisition, Inc.",Finance,"Artius Acquisition, Inc. operates as a blank check company, with no current active business. The firm was formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The company was founded by Charles Drucker on January 24, 2020 and is headquartered in New York, NY."
AAL,"American Airlines Group, Inc.",Transportation,"American Airlines Group, Inc. is a holding company, which engages in the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American. The firm offers air transportation for passengers and cargo. It operates through the following geographical segments: Department of Transportation Domestic; Department of Transportation Latin America; Department of Transportation Atlantic; and Department of Transportation Pacific. The company was founded on December 9, 2013 and is headquartered in Fort Worth, TX."
AAN,"Aaron's, Inc.",Finance,"Aaron's, Inc. retails consumer electronics, computers, residential furniture, household appliances, and accessories. It engages in the lease ownership, lease and retail sale of products such as widescreen and liquid crystal display televisions, computers, living room, dining room and bedroom furniture, washers, dryers, and refrigerators. The company operates through the following business segments: Progressive Leasing, Aaron’s Business and Vive. The Progressive Leasing segment provides lease-purchase solutions on a variety of products, including furniture and appliance, jewelry, mobile phones and accessories, mattress, and automobile electronics and accessories. The Aaron’s Business segment offers furniture, home appliances, consumer electronics and accessories to consumers with a lease-to-own agreement. The Vive segment offers a variety of second-look financing programs originated through third-party federally insured banks to customers of participating merchants and, together with Progressive Leasing, allows the Company to provide retail partners. The company was founded by R. Charles Loudermilk, Sr. in 1955 and is headquartered in Atlanta, GA."
AAOI,"Applied Optoelectronics, Inc.",Electronic Technology,"Applied Optoelectronics, Inc. engages in the design and manufacture of optical communications products. Its products include optical devices, such as laser diodes, photodiodes, related modules and circuitry, and equipment for applications in fiber-to-the-home, cable television, point to point communications and wireless. The company was founded by Chih Hsiang Lin on February 28, 1997 and is headquartered in Sugar Land, TX."
AAON,"AAON, Inc.",Producer Manufacturing,"AAON, Inc. engages in the engineering, manufacturing, marketing and sale of air conditioning and heating equipment. It operates through the following segments: Units, Parts-External, Parts-Internal, and Other. Its products include air handling units, self contained units, packaged rooftop units, geothermal heat units, controls, and coils. The company was founded by Norman H. Asbjornson on August 18, 1987 and is headquartered in Tulsa, OK."
AAP,"Advance Auto Parts, Inc.",Retail Trade,"Advance Auto Parts, Inc. engages in the supply and distribution of aftermarket automotive products for both professional installers and do-it-yourself customers. It operates through the following segments: Northern Division, Southern Division, Carquest Canada, Independents and Worldpac. Advance Auto Parts offers replacement parts, performance parts, accessories, oil and fluids, engine parts, brakes, batteries, accessories, and tools and garage. The company was founded by Arthur Taubman in 1929 and is headquartered in Raleigh, NC."
AAPL,"Apple, Inc.",Electronic Technology,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA."
AAT,"American Assets Trust, Inc.",Finance,"American Assets Trust, Inc. is a real estate investment trust. It owns, operates, acquires, and develops retail shopping centers; office properties; mixed-use properties; and multifamily properties. The company operates through the following business segments: Retail, Office, Multifamily and Mixed-Use. The Retail segment includes rental of retail space. The Office segment includes rental of office space. The Multifamily segment includes rental of apartments. The Mixed-Use segment includes rental of retail space and other tenant services. American Assets Trust was founded on July 16, 2010 and is headquartered in San Diego, CA."
