A,"Agilent Technologies, Inc.",Health Technology
AA,Alcoa Corp.,Non-Energy Minerals
AACQ,"Artius Acquisition, Inc.",Finance
AAL,"American Airlines Group, Inc.",Transportation
AAN,"Aaron's, Inc.",Finance
AAOI,"Applied Optoelectronics, Inc.",Electronic Technology
AAON,"AAON, Inc.",Producer Manufacturing
AAP,"Advance Auto Parts, Inc.",Retail Trade
AAPL,"Apple, Inc.",Electronic Technology
AAT,"American Assets Trust, Inc.",Finance
AAWW,"Atlas Air Worldwide Holdings, Inc.",Transportation
AAXN,"Axon Enterprise, Inc.",Electronic Technology
AB,AllianceBernstein Holding LP,Finance
ABBV,"AbbVie, Inc.",Health Technology
ABC,AmerisourceBergen Corp.,Distribution Services
ABCB,Ameris Bancorp,Finance
ABG,"Asbury Automotive Group, Inc.",Retail Trade
ABM,"ABM Industries, Inc.",Commercial Services
ABMD,"ABIOMED, Inc.",Health Technology
ABR,"Arbor Realty Trust, Inc.",Finance
ABT,Abbott Laboratories,Health Technology
ABTX,"Allegiance Bancshares, Inc. (Texas)",Finance
ABUS,Arbutus Biopharma Corp.,Health Technology
AC,"Associated Capital Group, Inc.",Finance
ACA,"Arcosa, Inc.",Producer Manufacturing
ACAD,"ACADIA Pharmaceuticals, Inc.",Health Technology
ACAM,Acamar Partners Acquisition Corp.,Finance
ACB,"Aurora Cannabis, Inc.",Process Industries
ACBI,"Atlantic Capital Bancshares, Inc.",Finance
ACC,"American Campus Communities, Inc.",Finance
ACCD,"Accolade, Inc. (Pennsylvania)",Technology Services
ACCO,ACCO Brands Corp.,Producer Manufacturing
ACEL,"Accel Entertainment, Inc.",Consumer Services
ACET,"Adicet Bio, Inc.",Health Technology
ACGL,Arch Capital Group Ltd.,Finance
ACHC,"Acadia Healthcare Co., Inc.",Health Services
ACI,"Albertsons Cos., Inc.",Retail Trade
ACIA,"Acacia Communications, Inc.",Electronic Technology
ACIU,AC Immune SA,Health Technology
ACIW,"ACI Worldwide, Inc.",Technology Services
ACLS,"Axcelis Technologies, Inc.",Electronic Technology
ACM,AECOM,Industrial Services
ACMR,"ACM Research, Inc.",Producer Manufacturing
ACN,Accenture Plc,Technology Services
ACRE,Ares Commercial Real Estate Corp.,Finance
ADBE,"Adobe, Inc.",Technology Services
ADC,Agree Realty Corp.,Finance
ADCT,ADC Therapeutics SA,Health Technology
ADI,"Analog Devices, Inc.",Electronic Technology
ADM,Archer-Daniels-Midland Co.,Process Industries
ADMA,"ADMA Biologics, Inc.",Health Technology
ADNT,Adient plc,Producer Manufacturing
ADP,"Automatic Data Processing, Inc.",Technology Services
ADPT,Adaptive Biotechnologies Corp.,Commercial Services
ADS,Alliance Data Systems Corp.,Technology Services
ADSK,"Autodesk, Inc.",Technology Services
ADSW,"Advanced Disposal Services, Inc.",Industrial Services
ADT,"ADT, Inc.",Commercial Services
ADTN,"ADTRAN, Inc.",Electronic Technology
ADUS,Addus HomeCare Corp.,Health Services
ADVM,"Adverum Biotechnologies, Inc.",Health Technology
AEE,Ameren Corp.,Utilities
AEGN,Aegion Corp.,Industrial Services
AEIS,"Advanced Energy Industries, Inc.",Electronic Technology
AEL,American Equity Investment Life Holding Co.,Finance
AEM,Agnico Eagle Mines Ltd.,Non-Energy Minerals
AEO,"American Eagle Outfitters, Inc.",Retail Trade
AEP,"American Electric Power Co., Inc.",Utilities
AER,AerCap Holdings NV,Finance
AERI,"Aerie Pharmaceuticals, Inc.",Health Technology
AES,The AES Corp.,Utilities
AFG,"American Financial Group, Inc.",Finance
AFIB,"Acutus Medical, Inc.",Health Technology
AFIN,"American Finance Trust, Inc.",Finance
AFL,"Aflac, Inc.",Finance
AFMD,Affimed NV,Health Technology
AFYA,Afya Ltd.,Consumer Services
AG,First Majestic Silver Corp.,Non-Energy Minerals
AGCO,AGCO Corp.,Producer Manufacturing
